UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"03/07/2023","926-String Orchestra","20","Liberty Junior High","057916049","Dallas","Lydia Villarreal","","","CC","Varsity","","182753","Apache (6193) ","Nunez","Petite Tango (10065) ","Kriechbaum","Defender of Time","Grice","Nicole Brown","Andrew McCallum","Kari Zamora","1","1","1","1","Shari Allison","Marian Jacobs","Ruth Kurtis","2","3","2","2","2"
"03/07/2023","926-String Orchestra","20","Marsh MS","057-905-054","Dallas","Amanda Chen","","","CC","Non-Varsity","","180659","March Heroic","Del Borgo  Elliot","Dragon Slayer","Grice  Rob","Fiddles on Fire","Williams  Mark","Nicole Brown","Andrew McCallum","Kari Zamora","2","2","2","2","Shari Allison","Marian Jacobs","Ruth Kurtis","2","2","3","2",""
"03/07/2023","926-String Orchestra","20","Parkhill Junior High School","057916051","Dallas","Erin Fox Wells","","","CC","Varsity","","183991","British Grenadiers","Caponegro","Celtic Roots","Baird","Moonlight Tango","Meyer","Nicole Brown","Andrew McCallum","Kari Zamora","2","1","1","1","Shari Allison","Marian Jacobs","Ruth Kurtis","1","3","1","1",""
"03/07/2023","926-String Orchestra","20","Rangel HS","035","Dallas","Rachel Woods","","","C","Varsity","","178967","March Heroic (10041)","Del Borgo","Sparkle!","Griesinger","A Pirates Dream (19492)","Day","Nicole Brown","Andrew McCallum","Kari Zamora","1","2","2","2","Shari Allison","Marian Jacobs","Ruth Kurtis","2","2","1","2",""
"03/07/2023","926-String Orchestra","20","Richardson North Jr. High","TX-057916-057916045","Richardson","David Moran","","","CC","Varsity","","182867","Honor and Glory (17621) ","Newbold","Moonlit Skies ","O`Laughlin","The Generals Order (18315) ","Anon. or Trad./Wang","Nicole Brown","Andrew McCallum","Kari Zamora","1","1","1","1","Shari Allison","Marian Jacobs","Ruth Kurtis","1","1","1","1","C"
"03/07/2023","926-String Orchestra","20","Richardson West Junior High","057916044","Richardson","Taryn Denton","Angela Sledge","","CCC","Non-Varsity","","182279","Andover Holiday (10039) (POP)","Del Borgo","Our Heroes (20643) ","Day","Exhilaration","Cooper Ford","Nicole Brown","Andrew McCallum","Kari Zamora","1","1","1","1","Shari Allison","Marian Jacobs","Ruth Kurtis","1","1","1","1","D"
"03/07/2023","926-String Orchestra","20","Richardson West Junior High","057916044","RICHARDSON","Angela Sledge","Taryn Denton","","CCC","Varsity","","182278","Mystical Mage (24175) ","Woolstenhulme","Sparta (20873) ","Parrish","Knight Racers","O'Loughlin","Nicole Brown","Andrew McCallum","Kari Zamora","1","1","1","1","Shari Allison","Marian Jacobs","Ruth Kurtis","1","1","1","1","C"
"03/07/2023","926-String Orchestra","20","Solar Prep for Girls ","306","Dallas  TX 75206","Asia Charles","0","","CCC","Non-Varsity","","183403","Fiddling A-Round (6150)","Caponegro","Jupiter Theme from The Planets (17624)","Holst/Hash","Dragon`s Flight","Ramsey-White","Nicole Brown","Andrew McCallum","Kari Zamora","DQ","DQ","DQ","DQ","Shari Allison","Marian Jacobs","Ruth Kurtis","1","1","1","1","2"
"03/07/2023","926-String Orchestra","20","Sudie L. Williams TAG Academy ","384","Dallas","Joseph Powers","","","C","Varsity","","183315","Dragon Slayer","Grice","Aspen Glow","Day","Fiddling A-Round (6150)","Caponegro","Nicole Brown","Andrew McCallum","Kari Zamora","2","2","1","2","Shari Allison","Marian Jacobs","Ruth Kurtis","1","1","1","1","2"
"03/07/2023","926-String Orchestra","20","Travis Middle School","057912043","Irving","Nadia Eimandoust","","","CCC","Varsity","","183294","Rustic Dance","Mark Williams","Las Mariposas Exoticas","Doug Spata","Intensity","Sean O'Loughlin","Nicole Brown","Andrew McCallum","Kari Zamora","1","1","1","1","Shari Allison","Marian Jacobs","Ruth Kurtis","2","1","2","2","2"
"03/07/2023","926-String Orchestra","20","Travis MS","057-905","Dallas","Eliezer Dobrin","","","C","Varsity","","183199","Incantations for String Orchestra","Hinds","A Shaker Hymn","O'Reilly","March Heroic","Del Borgo","Nicole Brown","Andrew McCallum","Kari Zamora","2","3","2","2","Shari Allison","Marian Jacobs","Ruth Kurtis","3","3","2","3",""
"03/07/2023","926-String Orchestra","20","W. E. Greiner Middle School","049","Dallas","Maria Garcia","Felipe Diaz","","CCC","Varsity","","179066","Sahara Crossing","Richard Meyer","Aspen Glow","Susan H. Day","Viva Los Conquistadores!","Deborah Baker Monday","Nicole Brown","Andrew McCallum","Kari Zamora","1","1","1","1","Shari Allison","Marian Jacobs","Ruth Kurtis","1","1","1","1","C"
"03/07/2023","926-String Orchestra","20","Westwood Junior High School","057916048","Dallas","Jonathan Roozeboom","Sara Cooper","","CCC","Varsity","","182449","Hiawatha","Newbold","Spring Song (6245) ","Daniels","Thunderstruck (21745) ","OLoughlin","Nicole Brown","Andrew McCallum","Kari Zamora","1","1","1","1","Shari Allison","Marian Jacobs","Ruth Kurtis","1","2","1","1","C"
